id,w212,sex,comb_g,1_116783698,Gg_rs14877932,Gg_rs14885084,1_134165693,Gg_rs13939684,Gg_rs15427022,Gg_rs14891046,Gg_rs14893407,Gg_rs14895423,Gg_rs14084016,Gg_rs15015376,Gg_rs15777012,Gg_rs15749695,chr3_16000000,3_16300000,Gg_rs15282380,3_23988469,Gg_rs14327472,3_27044082,Gg_rs15308709,Gg_rs14334308,Gg_rs16251229,Gg_rs15321001,3_36969573,Gg_rs15326621,Gg_rs14342633,Gg_rs13675715,Gg_rs15337358,Gg_rs16263890,Gg_rs14349767,Gg_rs14355077,Gg_rs15352400,snp-17-141-24973-S-1,Gg_rs15361114,Gg_rs16281414,rbl1045,snp-136-57-976-S-1,Gg_rs15371495,Gg_rs16289999,Gg_rs14368844
34572,1361,1,30.2,A,A,A,A,A,A,H,H,B,A,A,H,A,A,A,H,-,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34573,1072,0,1.4,H,H,H,H,H,H,B,H,H,H,H,H,H,-,A,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34574,1146,0,2.9,A,A,A,A,A,A,H,H,B,A,A,H,A,A,A,H,B,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,A,A,H,H,H,H
34575,1346,1,58,H,A,A,A,A,A,A,H,H,H,B,B,B,B,B,A,C,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,B,H,H,H,H,H,H,H
34576,NA,0,1.3,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,A,-,A,A,H,H,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,B,B,B,B
34577,1757,1,31.5,H,H,H,A,H,H,H,H,H,H,-,H,H,H,H,A,-,A,A,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H
34578,1169,0,2.1,H,A,A,B,B,B,B,B,B,H,B,H,B,B,B,A,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34579,956,0,1.2,B,H,A,B,B,B,B,B,B,H,H,H,H,H,H,A,B,B,B,B,H,H,H,H,H,H,A,B,B,B,B,B,B,B,B,H,A,A,A,A
34580,916,0,1.3,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34582,826,0,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,H,H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34585,1039,0,2,H,H,H,H,H,H,H,B,B,A,A,H,A,A,A,A,-,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,A,A,A,A
34589,1282,1,36.5,H,H,H,-,H,H,H,H,H,H,H,A,B,B,H,H,C,H,H,H,A,A,A,A,A,A,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34590,1166,0,3.8,H,A,H,B,B,B,B,B,B,H,H,B,H,H,A,A,B,B,B,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H
34591,NA,0,NA,B,B,B,H,H,H,A,H,H,H,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34592,1172,1,25.8,B,B,H,-,H,H,H,A,A,B,B,B,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34593,1375,1,27.1,A,H,B,-,B,B,B,B,B,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H
34594,1429,1,7.9,A,H,B,H,B,B,H,B,B,H,H,H,H,H,A,H,-,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,A,A,A,A
34602,1354,1,26.1,B,B,B,B,B,B,B,H,H,A,A,H,A,-,-,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34605,NA,0,NA,B,H,H,H,H,H,H,H,H,A,H,B,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34606,NA,1,NA,H,H,A,A,A,A,A,A,A,B,B,B,B,-,-,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34607,1525,1,16.9,H,A,A,H,B,B,B,B,B,A,A,B,A,A,H,A,C,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34608,906,0,1.6,B,-,A,A,A,A,A,A,A,H,H,B,H,H,H,H,-,A,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,A,A,A
34610,779,0,1.8,B,H,A,A,H,H,H,H,H,-,H,H,H,-,-,H,-,A,H,H,H,H,H,H,A,A,H,H,H,H,H,H,B,B,B,B,B,B,-,B
34611,730,0,1.4,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,B,C,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,B,B,B,H,A,A,A,A
34612,NA,0,NA,B,B,H,-,B,B,B,B,B,A,A,A,H,H,H,H,-,A,A,A,A,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A
34613,701,0,0.7,H,H,A,H,H,H,H,H,H,A,A,A,H,H,H,H,-,A,H,H,A,H,H,H,H,B,B,H,H,H,H,H,B,B,B,B,H,H,H,H
34615,1074,0,6,H,H,H,A,A,A,A,A,H,B,B,H,B,B,B,H,-,H,H,A,A,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,B,B,B,B
34617,876,0,3.1,H,A,H,H,H,H,H,A,H,H,H,B,B,B,B,B,C,B,B,H,A,H,H,H,H,H,B,-,B,B,B,B,H,H,H,H,H,B,B,B
34618,982,0,2,H,A,B,H,H,H,H,H,B,B,B,H,B,B,A,H,-,H,B,H,A,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H
34619,1410,1,34.3,A,A,H,A,H,H,H,B,B,A,-,A,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,-,A,A,A
34623,1569,1,31.2,H,A,H,B,B,B,B,B,B,H,H,H,H,H,H,B,B,A,H,H,H,B,B,H,H,H,H,H,H,A,A,A,H,-,H,H,A,A,A,A
34624,NA,1,NA,H,H,B,B,B,B,B,B,B,A,H,H,H,H,H,B,B,B,B,B,H,H,H,A,A,A,A,H,H,A,H,H,H,H,H,H,H,H,H,H
34625,1142,1,21.6,B,B,B,B,B,B,B,A,A,H,B,H,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34626,NA,0,NA,H,A,A,A,A,A,A,H,H,A,-,B,H,H,-,-,C,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34627,937,0,2.3,H,H,H,H,H,H,H,A,A,H,H,H,H,H,B,H,-,A,A,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34628,782,0,1.7,B,B,B,B,B,B,B,H,H,A,H,H,H,H,H,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34629,1629,1,39,H,H,H,A,H,H,H,H,H,H,-,H,H,H,H,-,B,B,H,H,H,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A
34631,860,0,4,H,A,A,H,H,H,H,B,B,H,H,B,H,H,-,B,C,H,H,H,H,B,B,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H
34632,809,0,2.6,B,-,H,-,H,H,H,A,A,H,H,H,H,H,H,B,C,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H
34633,830,0,4.2,B,H,A,A,A,A,A,A,A,H,H,B,H,H,-,H,-,A,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,A,A,A
34634,1125,1,16.8,H,H,B,B,B,B,B,B,B,H,H,A,H,H,H,A,-,A,B,B,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A
34637,NA,1,NA,H,A,H,B,B,B,B,B,B,H,H,H,H,H,-,H,C,H,H,H,H,H,H,A,A,A,A,H,H,A,H,H,H,H,H,H,H,H,H,H
34638,1586,1,26.9,H,A,H,B,B,B,B,B,B,A,H,A,H,H,H,B,C,H,B,B,H,B,B,B,B,B,B,H,H,H,H,A,H,H,H,H,A,A,A,A
34640,1286,0,5.4,B,B,B,B,H,H,H,H,H,H,H,B,H,H,H,H,B,B,H,H,H,B,B,B,B,B,B,-,A,A,A,A,A,H,H,H,H,H,H,H
34646,1614,1,31.1,A,H,B,H,B,B,H,B,B,B,B,H,B,B,H,B,-,A,A,H,A,A,A,A,A,H,A,H,H,A,A,A,A,A,A,A,A,A,A,A
34647,NA,0,NA,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,H,H
34648,888,0,1.6,B,A,A,A,A,A,A,B,B,A,A,H,A,A,A,A,-,A,A,A,A,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H
34649,1293,0,1.6,B,B,B,B,B,B,B,B,B,A,A,H,A,A,A,A,B,B,B,H,H,H,H,H,H,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A
34652,1256,1,40.5,H,H,A,A,A,A,A,A,A,B,B,H,B,B,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,A,A
34653,1208,0,4.1,H,A,A,A,A,A,H,H,H,H,H,H,H,H,A,A,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H
34654,1627,1,42,B,B,B,H,H,H,H,H,H,B,B,H,B,-,H,H,-,A,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A
34657,1215,0,2,A,A,B,H,H,H,H,H,H,A,A,B,A,A,-,A,C,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34658,952,0,1.9,B,H,H,A,A,A,H,B,B,H,H,A,H,H,H,A,-,A,A,A,A,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34659,970,0,2.6,B,H,H,A,A,A,A,H,H,H,H,A,H,-,H,H,-,A,A,A,A,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A
34660,NA,0,NA,H,H,H,A,A,A,A,B,B,A,A,H,A,A,A,A,-,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,-,H,H,A,A,A,A
34661,1041,0,2.3,A,-,A,A,A,A,H,H,H,A,H,H,H,H,H,H,-,H,H,A,A,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H
34662,1532,1,31.4,H,A,A,A,A,A,A,A,H,A,A,B,H,-,H,H,C,H,H,A,A,H,H,H,H,H,B,-,B,B,B,B,H,H,H,H,H,B,B,B
34663,NA,0,NA,H,H,B,B,B,B,H,H,H,H,H,A,H,H,H,H,C,H,H,H,H,B,B,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H
34664,1188,0,5.9,A,A,A,A,A,A,H,B,B,A,A,H,A,A,A,A,-,A,A,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,A,A
34665,1688,1,24.5,B,B,B,-,B,B,B,B,B,A,A,B,A,A,H,A,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34666,NA,0,NA,B,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,B,B,H,H,A,H,H,H,H,H,H,-,A,A,A,A,A,H,H,H,H,H,H,H
34701,1304,1,24.2,A,A,H,A,H,H,H,H,H,H,H,H,H,-,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,-,B
34702,NA,1,NA,H,H,H,H,A,A,H,H,H,H,H,B,B,-,H,H,-,A,A,A,A,A,A,H,H,H,H,-,A,A,A,A,A,A,H,H,H,H,H,H
34703,1441,1,42.8,H,A,A,A,A,A,H,H,H,B,B,H,B,B,B,H,-,A,A,A,A,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34704,1101,1,27,H,H,H,H,H,H,H,A,H,A,A,B,A,A,B,H,C,H,H,A,A,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H
34706,958,1,12.1,H,H,A,-,A,A,A,H,A,A,A,B,A,-,A,A,C,H,H,H,H,B,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34708,1235,0,8.5,B,B,H,H,H,H,H,H,H,H,H,A,H,H,H,H,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34711,1495,1,23.5,H,A,A,A,A,A,A,H,H,H,H,B,H,-,A,A,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34712,852,0,1.3,B,H,A,A,-,A,H,H,H,H,-,B,H,H,H,A,-,A,A,H,A,H,H,H,H,H,H,-,H,H,A,A,A,A,A,A,A,A,A,A
34713,1135,0,1.6,H,A,A,A,A,A,A,H,H,A,H,H,-,H,H,H,-,A,A,A,A,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H
34714,1285,1,31.7,H,H,H,H,H,H,H,H,H,A,H,B,H,H,H,H,-,A,H,H,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34715,1208,1,22.6,H,A,H,B,B,B,B,H,H,B,B,H,B,B,B,H,-,A,A,A,A,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34716,938,0,0.7,H,H,B,B,B,B,B,H,H,A,A,H,A,A,H,H,C,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34718,1216,1,15.1,H,H,B,B,B,H,H,B,B,H,H,H,H,H,-,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34719,1238,1,26.9,H,H,B,B,B,B,B,H,H,H,H,H,H,H,B,H,-,A,A,A,A,H,H,H,H,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34720,1437,1,33.4,H,H,A,A,A,A,H,A,H,H,H,H,B,B,H,B,-,A,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34721,1554,1,32.3,H,H,H,H,H,H,B,B,B,H,H,B,B,B,H,H,C,H,H,H,A,H,H,H,H,H,H,-,A,A,A,A,H,B,B,B,B,B,B,B
34723,1697,1,45.2,A,A,A,A,A,A,A,A,H,H,B,H,B,B,H,A,C,H,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,H,H,H,-,H
34724,1076,0,2.9,A,A,H,H,H,H,H,H,B,B,B,B,B,B,H,A,C,H,H,H,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34725,1245,1,34.6,B,H,H,H,H,B,B,B,B,B,B,A,B,B,B,H,-,A,A,H,A,H,H,H,H,H,H,B,B,H,H,H,H,B,B,B,B,B,B,B
34727,710,0,2.6,H,H,B,B,B,H,H,H,H,H,B,A,B,B,B,B,-,A,A,A,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,-
34728,719,0,2.9,H,H,H,-,H,H,H,H,H,B,B,A,B,-,-,H,-,A,A,A,A,H,H,H,A,A,H,B,B,H,H,H,H,H,H,H,A,A,A,A
34729,995,0,1.2,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,A,A,A,A,A,A,A,-,H,A,A,A,H,H,B,B,B,H,H,H,H,H
34730,1053,0,1.9,B,B,H,B,B,B,B,H,H,H,H,H,H,H,H,A,C,H,H,H,H,A,A,A,A,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34731,823,0,1.4,A,B,B,B,B,B,B,B,B,A,A,B,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34733,1181,0,2.4,A,H,H,A,H,H,H,H,H,B,B,B,B,-,B,A,C,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,A,A,A,A,A
34734,1117,0,6.4,A,A,B,A,H,H,A,H,B,H,H,H,H,H,H,-,C,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34735,1045,0,3.2,H,H,H,H,H,H,B,B,B,H,B,H,B,B,B,B,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34736,1577,1,30.5,H,H,H,H,H,H,H,H,B,B,B,A,B,B,H,A,C,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B
34737,1425,1,31.7,H,H,A,A,A,A,H,H,H,H,B,B,B,-,B,H,-,A,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,H,H,H,H,H,H,H
34738,968,0,2.3,A,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,B,H,A,A,A,A,A,A,B,H,A,A,A,H,H,H,H,H,H,H,H
34739,1250,1,41.6,H,B,H,H,H,H,H,A,A,H,H,H,H,-,-,H,-,A,A,H,A,A,A,A,A,A,A,H,H,A,A,A,H,H,H,H,H,H,H,H
34740,1511,1,31.6,H,B,H,B,B,B,B,H,H,H,B,H,B,B,B,B,-,A,A,H,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A
34741,947,0,3.2,B,H,H,A,A,A,H,H,H,B,B,H,B,B,B,H,-,A,A,A,A,A,A,A,A,A,H,B,B,H,H,H,H,H,H,H,A,A,A,A
34742,1217,1,28.3,B,H,A,A,A,A,H,A,A,B,B,A,B,B,B,B,-,A,H,H,A,H,H,H,H,H,H,B,B,H,B,B,B,B,B,B,B,B,B,B
34744,684,0,2,H,A,B,B,B,B,B,H,H,B,B,H,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34745,1610,1,46.9,B,B,H,H,H,H,H,H,H,B,B,H,B,B,B,B,C,H,H,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34746,1073,0,2.2,B,B,H,H,H,H,H,H,H,H,H,B,H,H,B,B,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34747,1484,1,27.8,A,H,B,B,B,B,B,B,B,A,A,H,H,H,H,B,B,B,H,H,H,B,B,H,H,B,B,H,H,H,H,H,B,B,B,B,H,B,B,B
34750,1078,0,3.9,B,A,A,A,H,H,H,B,H,A,H,A,B,B,B,B,C,H,H,H,A,H,H,H,H,H,H,-,A,A,A,A,A,A,H,H,H,H,H,H
34752,1117,0,2.1,B,H,H,H,H,H,H,A,A,H,B,B,B,B,B,A,-,A,A,A,A,A,A,H,H,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H
34753,1557,1,35.1,B,H,B,B,B,B,H,H,H,H,H,A,H,H,H,A,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34754,NA,1,NA,H,H,H,H,H,H,A,H,H,A,H,A,H,H,H,H,-,A,H,A,A,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H
34755,1408,1,30.9,H,A,A,A,A,A,B,B,B,H,H,B,H,H,H,A,C,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A
34756,1535,1,38.1,A,A,A,A,A,A,A,A,H,H,B,A,B,B,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34758,1536,1,34.2,A,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,C,H,H,H,H,B,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H
34759,1454,1,12.2,H,H,B,B,B,B,B,B,B,A,A,B,A,A,H,H,C,H,H,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34760,1462,1,22.4,B,B,H,H,H,H,B,B,B,H,H,H,A,A,H,H,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34761,915,0,1.8,H,H,H,A,A,A,A,A,H,A,A,B,A,A,A,A,-,A,H,B,H,H,H,H,A,A,A,A,H,H,H,H,B,B,B,B,B,B,B,B
34763,1527,1,24,H,H,H,H,H,H,-,H,B,A,A,B,A,A,A,A,-,A,H,B,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34764,1149,0,1,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34765,1460,1,40.6,H,H,A,-,-,A,H,H,-,A,A,H,H,H,H,A,-,A,A,A,A,H,H,H,A,A,A,-,A,A,A,H,H,H,H,A,A,A,A,A
34766,1530,1,38.3,H,H,A,A,A,A,H,H,H,A,A,H,H,H,H,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H
34767,933,0,3,H,B,H,H,H,H,H,H,H,H,B,H,B,B,B,B,-,A,A,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34768,NA,1,18,H,A,H,B,B,B,B,H,H,H,H,A,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,B,B,B,H,H,H,A,A,A,A,H,H,H
34769,1495,1,18.3,H,H,B,B,B,H,H,H,H,H,H,H,H,H,B,B,C,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34771,863,0,4.5,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,-,A,A,A,A,B,B,B,B,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H
34772,1413,1,17.8,A,A,A,A,H,H,B,B,B,A,A,B,A,H,H,H,C,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A
34773,1145,1,14.8,B,B,H,H,H,H,H,B,B,A,A,B,A,A,H,H,C,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A
34775,NA,0,NA,H,A,H,H,H,H,H,B,H,B,B,H,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34776,962,1,13.2,H,H,H,H,H,H,H,B,B,A,A,B,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34777,NA,1,NA,H,H,B,B,B,H,H,B,B,A,A,B,A,A,H,H,C,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34778,839,0,2.6,H,H,B,B,B,B,H,B,B,H,H,B,H,H,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34780,1355,1,27.5,H,H,H,H,H,H,H,H,B,H,H,H,B,B,H,H,C,H,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,B,B,B
34783,1556,1,55,B,H,A,H,B,B,B,B,B,B,B,H,B,B,B,H,C,H,H,H,A,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A
34784,1361,1,16.6,H,H,A,A,H,H,H,H,H,A,A,H,A,-,A,A,C,H,H,B,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34785,1255,1,25.7,H,H,H,B,B,B,B,B,B,A,A,H,H,H,H,H,C,A,H,H,H,B,B,B,B,B,B,-,A,A,A,A,H,H,H,H,A,A,A,A
34786,1303,1,37.6,H,A,H,H,H,H,H,B,B,B,B,B,B,B,H,A,C,H,H,A,A,A,A,H,H,H,H,B,B,B,B,B,B,H,B,B,H,H,H,H
34787,1003,0,1.5,A,A,A,A,A,A,A,H,H,A,A,H,A,-,A,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34788,1333,1,23.1,A,A,A,A,H,H,B,B,B,A,A,B,A,A,A,A,C,H,H,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A
34791,1224,0,4.1,H,H,B,-,B,B,B,B,B,B,B,H,B,B,H,-,C,H,H,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,-,A,A,A
34794,1346,1,27,B,B,A,A,H,H,H,H,B,A,A,B,A,-,A,A,-,A,H,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H
34795,1070,1,23.2,H,A,A,A,A,A,B,B,B,A,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
